Object No.,ñ êœ,é¸àÕí∑,â~å`ìx,ècâ°î‰,ñ êœî‰
1,156.5,47.55634891986847,0.8695753020784406,0.8125,0.7524038461538461
2,227.0,56.627416372299194,0.8895742977528392,0.8421052631578947,0.7467105263157895
3,136.5,44.3847758769989,0.8707118457532292,0.75,0.7109375
4,213.5,57.21320307254791,0.8196250415079183,0.8421052631578947,0.7023026315789473
5,238.0,59.455843567848206,0.8460533130091322,0.7619047619047619,0.7083333333333334
6,193.5,54.3847758769989,0.8221217672579051,0.8333333333333334,0.7166666666666667
7,335.5,70.52691125869751,0.8476033412818926,0.8333333333333334,0.6989583333333333
8,116.5,41.55634880065918,0.8477367757010761,0.7333333333333333,0.706060606060606
9,263.5,63.69848394393921,0.8160791674724237,0.6666666666666666,0.6861979166666666
10,270.5,62.870057225227356,0.8599821205888949,0.8571428571428571,0.7156084656084656
11,162.0,48.627416491508484,0.8609193817850559,0.8235294117647058,0.680672268907563
12,190.5,60.041630029678345,0.6640486465045197,0.5909090909090909,0.666083916083916
13,135.5,45.21320307254791,0.8329493792833494,0.8125,0.6514423076923077
14,137.0,44.97056245803833,0.8512826699806575,0.75,0.7135416666666666
15,196.5,54.38477599620819,0.8348678375088854,0.7368421052631579,0.7387218045112782
16,186.5,51.21320283412933,0.8935622765479391,0.7777777777777778,0.7400793650793651
17,1383.0,182.3675309419632,0.5225610161806861,0.7241379310344828,0.5677339901477833
18,559.0,110.42640602588654,0.5760707128853065,0.9696969696969697,0.5293560606060606
19,229.0,57.79898941516876,0.8613999777482759,0.75,0.7633333333333333
20,242.5,60.041630029678345,0.84531126917242,0.85,0.7132352941176471
21,304.0,65.45584344863892,0.8916339589134309,0.8181818181818182,0.7676767676767676
22,266.0,61.79898941516876,0.8752432179321287,0.85,0.7823529411764706
23,202.0,54.14213538169861,0.8659453261887414,0.8823529411764706,0.792156862745098
24,195.5,54.041630029678345,0.8412009333043948,0.7894736842105263,0.6859649122807018
25,183.5,52.38477599620819,0.8403026831926893,0.6842105263157895,0.742914979757085
26,231.5,58.041629910469055,0.8635384106924593,0.8,0.7234375
27,193.5,53.21320295333862,0.8587208992944098,0.8333333333333334,0.7166666666666667
28,159.5,49.55634891986847,0.8161536876004156,0.7647058823529411,0.7217194570135747
29,304.0,66.28427064418793,0.8694857801787349,0.782608695652174,0.7342995169082126
30,185.5,52.870057106018066,0.8339388741299375,0.7894736842105263,0.6508771929824562
31,195.0,54.62741661071777,0.8211512340505513,0.8333333333333334,0.7222222222222222
32,200.0,53.79898941516876,0.8683436328756677,0.8333333333333334,0.7407407407407407
33,301.0,67.11269783973694,0.8397827802432704,0.75,0.6967592592592593
34,138.5,44.72792184352875,0.8699658333603972,0.8,0.7694444444444445
35,128.5,43.55634891986847,0.851157745036751,0.8,0.7138888888888889
36,218.5,58.041630148887634,0.8150459662470347,0.75,0.7283333333333334
37,183.5,52.041630029678345,0.8514205943243266,0.7368421052631579,0.6898496240601504
38,173.0,49.79898941516876,0.8766271316731232,0.8235294117647058,0.726890756302521
39,180.0,51.79898941516876,0.8430237218554445,0.8823529411764706,0.7058823529411765
40,139.5,44.38477599620819,0.8898483650557818,0.75,0.7265625
41,275.0,63.455843567848206,0.858221349539722,0.7727272727272727,0.7352941176470589
42,215.5,56.3847758769989,0.8517917345066884,0.7894736842105263,0.756140350877193
43,266.5,64.04163002967834,0.8165491343060625,0.8571428571428571,0.705026455026455
